# DATASET REGISTRY -- the single source of truth for what every dataset is called and where it came from.
#
# WHY THIS EXISTS. Labels in this project grew as a mix of surnames (janich, wang), GEO accessions
# (gse243134), cell types (Hepatocytes, HUVEC) and product names (cart). That is not a style problem:
# the surname-labelled datasets were surname-labelled because NO accession was recorded anywhere, and
# a surname breaks exactly where GSE243134 sits -- a Genome Biology paper with multiple first authors.
# Two datasets in this project are also BOTH THP-1 (GSE208041, GSE39561), so a cell-type label alone
# is ambiguous in our own data.
#
# HOW TO USE IT. `key` is the INTERNAL identifier: it appears in directory names, script arguments and
# values JSONs, and is deliberately NOT being renamed -- those strings are load-bearing across
# results.md, every generator and every pack path, and a mass rename is a large blast radius for a
# cosmetic gain. `display` is what figures, tables and manuscripts should print. Render from this file;
# do not hardcode labels.
#
# display = <species>_<tissue/cell type>_<primary accession>. The accession is the unambiguous primary
# key; the species+tissue prefix is what a human scans for; and the pair resolves the two-THP-1
# collision that neither component resolves alone.
#
# accession_ribo is the Ribo-seq series (the one this project trains and evaluates on).
# accession_rna / accession_super are recorded where the study split them -- Chothani's RNA is a
# SEPARATE GSE, and citing the SuperSeries or the RNA series as "the" accession is a real error mode:
# a sibling project cites GSE183670 for Chothani, which is an unrelated lung adenocarcinoma study
# (methods.md "Accession correction").
#
# VERIFICATION STATUS. verified=doc means the accession was already recorded in methods.md and matches;
# verified=user means it was supplied 2026-08-14 and was not previously recorded anywhere in the repo.
key	display	species	tissue	accession_ribo	accession_rna	accession_super	sra	first_author	year	verified	notes
janich	mouse_liver_GSE67305	mouse	liver	GSE67305	-	-	-	Janich	2015	user	Circadian mouse liver Ribo-seq. 5 Ribo runs SRR1930188/89/93/96/97. No accession was recorded anywhere in the repo before 2026-08-14.
gse243134	mouse_liver_GSE243134	mouse	liver	GSE243134	-	-	-	multiple	2024	doc	Genome Biology, MULTIPLE first authors -- the case that makes surname labels fail. 21 WT RPF libraries selected via data/liver3x3/gse243134_ribo_runs.txt, not a directory glob.
wang	mouse_liver_GSE94982	mouse	liver	GSE94982	-	-	PRJNA375080	Wang	2021	doc	P42 liver, CHX-arrested monosome footprinting. 2 Ribo + 2 RNA. Already in methods.md line 749.
chothani	human_<tissue>_GSE182371	human	9 cell types	GSE182371	GSE182372	GSE182377	PRJNA756018 / SRP333128	Chothani	2022	doc	smORF atlas part 1. THE TRAINING DATA. One study, 9 tissues -> display substitutes the tissue: human_hepatocytes_GSE182371 etc. Brain dropped for low periodicity. WARNING: a sibling project cites GSE183670, which is an unrelated study.
gse208041	human_thp1_GSE208041	human	THP-1	GSE208041	-	-	-	-	-	doc	5 RPF + 4 RNA. ONE OF TWO THP-1 datasets -- cell type alone is ambiguous.
gse39561	human_thp1_GSE39561	human	THP-1	GSE39561	-	-	-	-	2012	doc	3 RPF, NO matched RNA (borrows GSE208041's). Zero P-sites: no detectable 3-nt periodicity. Retained as a negative control. SECOND THP-1 dataset.
cart	human_cart_GSE304796	human	CAR-T	GSE304796	-	-	-	-	-	doc	3 RPF + 3 RNA. GEO library_strategy is WRONG (says RNA-Seq; it is Ribo-seq). UMI protocol, ~29% duplicates.
human_ruizorera	human_ipsccm_PRJEB65856	human	iPSC-CM	PRJEB65856	-	-	-	Ruiz-Orera	2024	doc	Cross-study held-out. ENA, not GEO -- a GSE-only scheme cannot express this dataset.
gse120762_nt	mouse_bmdm_GSE120762	mouse	BMDM (untreated)	GSE120762	-	-	-	-	-	doc	Mouse leukocyte held-out, untreated arm.
gse120762_lps	mouse_bmdm-lps_GSE120762	mouse	BMDM (LPS)	GSE120762	-	-	-	-	-	doc	Same accession as the NT arm; the treatment distinguishes them.
gse155087	mouse_tcell_GSE155087	mouse	T cell	GSE155087	-	-	-	-	-	doc	Mouse held-out.
macrophage_tissue	mouse_macrophage_PRJNA482293	mouse	12 macrophage populations	-	-	-	PRJNA482293	-	-	doc	Proteogenomics sweep. Proteomics is PXD/MassIVE; see proteomics_manifest.tsv. NOT a GEO series.
B721	human_b721221_PXD008733	human	B721.221	-	-	-	PXD008733	Ouspenskaia / Sarkizova	-	doc	Ground-truth benchmark (A4). Ribo-seq from Ouspenskaia, RNA-seq from Sarkizova -- TWO studies combined, which no single accession expresses.
